"","lad2014_code","rr_80_84_m","rr_85_89_m","rr_90p_m","rr_80_84_f","rr_85_89_f","rr_90p_f"
"1027","E07000143",1.06543828749492,1.18791606791988,1.01698608428663,1.3264192794197,1.0232276119403,1.27606776425674
"1033","E07000144",1.18277485904664,1.14065934065934,1.29964546232528,1.16774630221638,0.903939068810694,1.14660299544172
"1039","E07000145",1.13981008035062,1.30337078651685,0.961330331397875,0.933882676083971,1.10219737054923,1.15096145803322
"1045","E07000146",1.04463467193695,1.0762945199396,1.10346695557963,0.892053091397849,1.21854873336196,0.99038060233989
"1051","E07000147",1.05700126686042,1.19684869415066,0.935862309913024,1.21957375928931,0.95150222772867,1.05088380357198
"1057","E07000148",1.08419670516792,0.988175522424169,0.908045977011494,1.06073561106596,1.22045482788617,1.29396076780012
"1063","E07000149",1.21721538007459,1.08642099695222,1.53374165788549,1.24903394566316,0.849694598205764,1.17728195621469
"1069","E07000150",0.832846952010376,0.942857142857143,0.956255224296461,0.984397163120567,1.45925673371974,1.13595384060584
"1075","E07000151",0.857616552821805,0.928883553421369,1.25103896103896,0.844211611130196,1.22542134831461,1.12922268907563
"1081","E07000152",1.06495359099209,1.25427432452384,1.17583333333333,1.34477174849268,1.33300227938782,1.05534559694017
"1087","E07000153",1.04686795853988,1.25526856154761,0.946236559139785,1.20668900287603,0.981817342747704,1.27131782945736
"1093","E07000154",0.993594651150921,1.1006698789517,1.16120823798627,0.882570951585977,1.1101564399773,1.10747021081577
"1099","E07000155",1.47180762852405,1.30357142857143,1.28991725406068,0.891812865497076,1.09864364981504,1.12744418718629
"1105","E07000156",0.905460951262478,0.92463768115942,0.822616185897436,0.98745435820616,1.23720487550275,0.895036963577353
"1111","E07000163",0.858776559750981,1.24025147818277,1.25659768369091,1.09924812030075,1.10838794955114,1.14865530048776
"1117","E07000164",0.897768200708019,1.31108020398702,1.18657106970902,1.06202453101227,0.92809364548495,1.19465906895886
"1123","E07000165",1.00246346366013,0.973544973544973,1.09236111111111,1.02522855876019,1.03802897767571,1.21705758070124
"1129","E07000166",1.06643871191136,0.90190620782726,0.989665653495441,1.26528438272779,1.77165631227289,1.13886278195489
"1135","E07000167",0.898109243697479,1.0465832136261,1.1672203765227,0.95034029756252,1.09487113622742,1.08424470266576
"1141","E07000168",1.37868836983493,1.10327014436603,1.22930574098798,1.03240127275643,1.09594516594517,1.07448816611006
"1147","E07000169",0.923167198445007,0.773618538324421,1.13450508788159,1.08917456903575,0.825915163814707,1.24737040606797
"1153","E07000170",1.06414967737909,1.25527845214449,1.05535294117647,1.14844250737085,1.25465587044534,1.44795927062031
"1159","E07000171",1.07544642857143,1.07840607435749,0.953571428571429,1.16075760222002,1.12713199534215,1.20618178565038
"1165","E07000172",1.31549868111499,1.020493657523,1.13541417523718,1.17682858267274,1.35547158603393,1.34880007341807
"1171","E07000173",1.43170812879607,1.05239232019504,1.35451505016722,1.01158038147139,0.954362282878412,1.10214777792787
"1177","E07000174",1.15720168926895,1.23243243243243,1.0102766798419,0.785933873652746,1.28210915702687,1.24224921430392
"1183","E07000175",0.905946302091912,1.22164317911423,1.01261043570188,0.980343642611684,1.18306759076081,1.3827704865557
"1189","E07000176",0.704122990915444,1.28653594771242,0.9374321880651,1.34141398633607,1.12647344874538,1.14163614163614
"1195","E07000177",0.970531088082902,0.807920792079208,0.872881895782902,0.984034060670569,1.07278803413257,1.04372405372405
"1201","E07000178",0.99944244827159,1.13208722741433,1.0998353909465,1.0734918680749,1.16028208440999,1.10842726784756
"1207","E07000179",1.47785744726985,1.03237553342817,1.38957137623641,0.867145521168954,1.0104204096299,1.36746259222529
"1213","E07000180",0.972241792306609,1.04373211887663,0.985395189003436,0.935110403082395,0.971549199345784,1.24674038376253
"1219","E07000181",0.797720797720798,0.890376128054805,0.801014119229045,0.834726863534065,0.803412969283276,1.1217544120195
"1225","E07000187",1.07786918932652,1.03094890510949,1.14177777777778,1.0093571952389,1.3252865048586,1.20772313296903
"1231","E07000188",0.968499825965889,1.29251700680272,0.795864661654135,1.24213342440801,1.07386794839363,1.33412042502952
"1237","E07000189",0.931591005648186,0.946394044405421,0.908665437526592,1.08025319317283,1.00521179401993,1.20187791334045
"1243","E07000190",1.23725328947368,1.18114444719949,1.00409006403636,1.03901259445844,1.00360355378604,1.23587982086178
"1249","E07000191",1.12723621759766,1.02988285919197,1.20481927710843,1.14504532666458,1.69556243550052,0.955614051012072
"1255","E07000192",1.27285956827553,1.40730679156909,1.13208844082942,0.680712715492306,1.42956840850637,1.43319463707813
"1261","E07000193",0.891932141932142,1.0688462057791,1.00979978925184,1.13072660310467,1.04154410283274,1.14842468709538
"1267","E07000194",0.849572166612851,1.13614358974359,1.11010046965103,1.07174709348622,0.872071762736598,1.2131123388582
"1273","E07000195",1.34056007226739,1.13802544906219,0.851553509781358,1.45380617272106,1.16450367351317,1.43634417609009
"1279","E07000196",1.36174273487706,1.20156593406593,0.95633971291866,1.31766381766382,1.02493165425779,1.04871594437791
"1285","E07000197",1.07092876024613,1.11428470555006,0.944940476190476,1.15579728877354,1.28434498846068,1.05349613265385
"1291","E07000198",1.06872459349593,1.19340318634318,1.6332208052013,1.05034690419491,1.1773156899811,1.23130560447997
"1297","E07000199",1.127067481156,1.10763888888889,0.994698660714286,1.24973931178311,0.93256338776052,0.930843989769821
"1303","E07000200",1.09657622739018,1.10832432432432,0.989683098591549,1.23408267954134,0.994402491028462,1.09265409513088
"1309","E07000201",0.909634645224996,0.85912577620845,1.22062732589048,1.35213675213675,1.22474226804124,1.58570430268543
"1315","E07000202",0.752409111610725,0.992953796536493,1.13333333333333,1.39231539782484,1.07064748490138,1.65404480496847
"1321","E07000203",0.855775803144224,0.845031392076207,1.26978281397545,1.0247619047619,1.21587270036882,0.94483024691358
"1327","E07000204",0.839672011440046,1.20345450893754,1.1104274611399,1.02680816326531,1.31875178113423,1.1599553218942
"1333","E07000205",1.01843664904693,1.10857722708823,1.17757466949567,0.875410320032053,1.25849419913725,1.1584222602152
"1339","E07000206",0.828681626928471,1.37325851393189,0.98689789687924,1.3459032906686,1.00834468732105,1.200819044703
"1345","E07000207",1.30336420738848,1.01733108471779,1.17052208835341,1.15403128760529,1.14615208078335,1.23709652268829
"1351","E07000208",1.26758333333333,0.90596928426543,1.02084556664709,1.06840700777352,1.01612903225806,1.29534113696778
"1357","E07000209",0.915818101321865,1.16625223924494,1.05304829770388,0.925776449652486,0.944235700322425,0.957322618166438
"1363","E07000210",0.890642604216964,1.02881481481481,0.924608819345661,0.916313007222098,0.898127846179794,1.30369989722508
"1369","E07000211",1.025588926678,1.16226338135232,1.35906369080022,0.871723523846625,1.34126714269523,1.33631601920559
"1375","E07000212",0.990702479338843,1.10282369146006,1.13170136505758,0.88440950150552,0.97708082026538,1.30718119090212
"1381","E07000213",1.13352096048235,1.19932339132836,1.00413995726496,1.15603768041426,1.31004860404657,1.02096036585366
"1387","E07000214",0.959526774595268,1.13397513036502,0.919354838709677,1.20435354008369,1.08928571428571,1.00270850093859
"1393","E07000215",1.49711408830468,0.969943371569624,0.794294294294294,0.962639756757404,1.29695024077047,1.06455495377209
"1399","E07000216",1.06864441090949,1.17733565788124,1.15876956287102,1.08679839649109,1.22973290146928,1.12779712952848
"1405","E07000217",1.2500898311175,1.2855466768138,0.801742919389978,0.951745901242927,1.08056374519789,0.871653543307087
"1411","E07000218",1.09386656882529,0.968838526912181,1.21184230710232,1.31401260931462,1.38620490620491,1.33850020946795
"1417","E07000219",1.26608135884893,1.22219753854356,1.26349039220848,0.913783783783784,1.28307611133096,1.53587443946188
"1423","E07000220",1.22065527065527,1.42475328947368,1.34808467741935,1.05380209178822,1.56099036099036,1.10487311924545
"1429","E07000221",1.06616830972122,1.41237511953934,1.28956909775485,1.32743101667404,1.09749362228125,1.27658566881453
"1435","E07000222",0.960242505483792,0.988011695906433,1.12156862745098,1.11962949079169,1.06771105704736,0.973002973644548
"1441","E07000223",0.842409706546275,1.13685624446683,1.35408560311284,1.41176470588235,0.913448085120229,1.33470695970696
"1447","E07000224",0.989355803183278,1.05040188738983,1.36470588235294,1.24189353216577,1.0241300482601,1.2080378250591
